strang,  range
elseware,  elsewhere
embrodery,  embroidery
emergancy,  emergency
employe,  employ
imploy,  employ
employe,  employee
emplorer,  employer
emploer,  employer
employement,  employment
emty,  empty
anable,  enable
unable,  enable
encourge,  encourage
and,  end
endever,  endeavor
endevor,  endeavor
enemys,  enemies
enamy,  enemy
emeny,  enemy
energey,  energy
ingage,  engage
engin,  engine
engen,  engine
enginer,  engineer
injoy,  enjoy
enormus,  enormous
enuf,  enough
anter,  enter
enterd,  entered
intertain,  entertain
entertanment,  entertainment
entertament,  entertainment
enthusastic,  enthusiastic
intire,  entire
entirly,  entirely
intirely,  entirely
enterance,  entrance
entrence,  entrance
envolope,  envelope
envey,  envy
equel,  equal
equaly,  equally
equippment,  equipment
equiped,  equipped
ereck,  erect
errend,  errand
erand,  errand
errow,  error
eror,  error
ascape,  escape
excape,  escape
especialy,  especially
esay,  essay
essa,  essay
esential,  essential
astablish,  establish
astate,  estate
estamate,  estimate
ect.,  etc.
evn,  even
eveing,  evening
evning,  evening
aver,  ever
evry,  every
avery,  every
everbody,  everybody
everebody,  everybody
everone,  everyone
everthing,  everything
everwhere,  everywhere
evedence,  evidence
evedently,  evidently
excatly,  exactly
excactly,  exactly
examanation,  examination
examin,  examine
exsample,  example
excede,  exceed
excedingly,  exceedingly
exellent,  excellent
exept,  except
exsept,  except
ecception,  exception
exess,  excess
exsess,  excess
excange,  exchange
excitment,  excitement
exiting,  exciting
exciteing,  exciting
excurtion,  excursion
exuse,  excuse
exectutive,  executive
exersize,  exercise
exersise,  exercise
exausted,  exhausted
exibit,  exhibit
exibition,  exhibition
exsist,  exist
exspect,  expect
except,  expect
exspected,  expected
exspecting,  expecting
expidition,  expedition
expence,  expense
expences,  expenses
expencive,  expensive
experiance,  experience
experence,  experience
explane,  explain
explaned,  explained
explaination,  explanation
explor,  explore
exsport,  export
exspress,  express
experss,  express
expresion,  expression
exquist,  exquisite
exstend,  extend
extand,  extend
exstended,  extended
extention,  extension
exstent,  extent
exter,  extra
extroadinary,  extraordinary
extrordinary,  extraordinary
extream,  extreme
extremly,  extremely
i,  eye
fas,  face
fase,  face
fackt,  fact
facter,  factor
factorys,  factories
facilty,  faculty
facalty,  faculty
fale,  fail
faled,  failed
falure,  failure
fant,  faint
fare,  fair
farly,  fairly
fariy,  fairy
fary,  fairy
fath,  faith
fathe,  faith
faithfull,  faithful
fathful,  faithful
fol,  fall
fal,  fall
folling,  falling
fales,  false
faulse,  false
familar,  familiar
famly,  family
famus,  famous
fance,  fancy
for,  far
fair,  fare
form,  farm
from,  farm
famer,  farmer
father,  farther
fashon,  fashion
fat,  fast
fas,  fast
fasen,  fasten
fet,  fat
farther,  father
farthar,  father
falt,  fault
faver,  favor
faverable,  favorable
favorate,  favorite
favorit,  favorite
feer,  fear
fere,  fear
fearfull,  fearful
fest,  feast
fether,  feather
feture,  feature
fab.,  feb.
febuary,  february
feburary,  february
feed,  fed
fedral,  federal
fea,  fee
feable,  feeble
feble,  feeble
fed,  feed
fell,  feel
feal,  feel
felling,  feeling
fet,  feet
fill,  fell
falt,  felt
fance,  fence
firn,  fern
furn,  fern
fairy,  ferry
fery,  ferry
fertal,  fertile
fertil,  fertile
feaver,  fever
fue,  few
feild,  field
feirce,  fierce
ferce,  fierce
firey,  fiery
firery,  fiery
fiften,  fifteen
fith,  fifth
fivety,  fifty
fivty,  fifty
fite,  fight
fiting,  fighting
figer,  figure
figurs,  figures
fill,  file
fild,  filed
filling,  filing
fil,  fill
fell,  fill
fild,  filled
filld,  filled
flim,  film
finel,  final
finaly,  finally
finacial,  financial
fond,  find
fin,  find
fin,  fine
find,  fine
finist,  finest
finst,  finest
figer,  finger
fingr,  finger
finsh,  finish
finch,  finish
finshed,  finished
fir,  fire
firemen,  fireman
ferm,  firm
fern,  firm
frist,  first
fich,  fish
fiching,  fishing
fite,  fit
fited,  fitted
fiv,  five
fixt,  fixed
fixd,  fixed
flam,  flame
flead,  fled
fleash,  flesh
flow,  flew
flys,  flies
flite,  flight
flit,  flight
flot,  float
flote,  float
flok,  flock
flud,  flood
flod,  flood
flor,  floor
flower,  flour
flour,  flower
flowrs,  flowers
fli,  fly
flay,  fly
fling,  flying
foled,  fold
fould,  fold
foke,  folk
fokes,  folks
foks,  folks
folow,  follow
flow,  follow
flowing,  following
followes,  follows
found,  fond
fod,  food
foll,  fool
folish,  foolish
fot,  foot
feetball,  football
footboll,  football
far,  for
forse,  force
forsed,  forced
foriegn,  foreign
fornoon,  forenoon
farest,  forest
frost,  forest
foreever,  forever
forevere,  forever
forgat,  forget
forgave,  forgive
foregive,  forgive
foregot,  forgot
forgotton,  forgotten
forke,  fork
from,  form
fromed,  formed
farmer,  former
formally,  formerly
fought,  fort
fourth,  forth
fortuneate,  fortunate
fourtune,  fortune
fourty,  forty
foward,  forward
fowarded,  forwarded
fort,  fought
fond,  found
fondation,  foundation
foundition,  foundation
for,  four
forteen,  fourteen
forth,  fourth
fragrent,  fragrant
fram,  frame
fraim,  frame
franck,  frank
fre,  free
freese,  freeze
freze,  freeze
frieght,  freight
franch,  french
freequent,  frequent
freequently,  frequently
freash,  fresh
firday,  friday
frend,  friend
freind,  friend
freindly,  friendly
frendly,  friendly
frends,  friends
frinds,  friends
freinds,  friends
freindship,  friendship
friten,  frighten
frightend,  frightened
forg,  frog
fram,  from
frount,  front
frunt,  front
forst,  frost
frose,  froze
fros,  froze
frosen,  frozen
frute,  fruit
fruite,  fruit
fri,  fry
frie,  fry
fule,  fuel
foll,  full
ful,  full
fill,  full
fuly,  fully
fan,  fun
fon,  fun
found,  fund
funy,  funny
funney,  funny
fer,  fur
furr,  fur
furnice,  furnace
farther,  further
futher,  further
furture,  future
gane,  gain
galin,  gallon
gane,  game
gams,  games
garge,  garage
grage,  garage
garmet,  garment
gase,  gas
gasaline,  gasoline
gat,  gate
garther,  gather
gether,  gather
gav,  gave
jay,  gay
gees,  geese
jem,  gem
jam,  gem
genaral,  general
generaly,  generally
generious,  generous
genious,  genius
gentel,  gentle
gentelman,  gentleman
gentlemen,  gentleman
gentleman,  gentlemen
gentelmen,  gentlemen
gat,  get
geting,  getting
goast,  ghost
gaint,  giant
gingum,  gingham
gingam,  gingham
gril,  girl
grils,  girls
giv,  give
givin,  given
givein,  given
givs,  gives
giveing,  giving
glady,  gladly
glas,  glass
glob,  globe
glooming,  gloomy
glomy,  gloomy
gloomming,  gloomy
glourious,  glorious
glovs,  gloves
cloves,  gloves
gote,  goat
got,  goat
gad,  god
gose,  goes
gos,  goes
gloden,  golden
goldin,  golden
gon,  gone
god,  good
goad,  good
goodby,  good-bye
goodnes,  goodness
goodes,  goods
gose,  goose
goos,  goose
gosip,  gossip
gat,  got
goot,  got
goven,  govern
gover,  govern
goverment,  government
govenor,  governor
grown,  gown
grabe,  grab
grad,  grade
gread,  grade
gradualy,  gradually
graduly,  gradually
graguate,  graduate
graguation,  graduation
grauation,  graduation
gran,  grain
grane,  grain
grammer,  grammar
gand,  grand
graned,  grand
grandfarther,  grandfather
grandna,  grandma
granmother,  grandmother
grandnother,  grandmother
grandpar,  grandpa
gant,  grant
grand,  grant
graps,  grapes
gess,  grass
gras,  grass
greatful,  grateful
graditude,  gratitude
gravey,  gravy
grae,  gray
greas,  grease
gres,  grease
grate,  great
grater,  greater
gratest,  greatest
greastest,  greatest
grately,  greatly
gratly,  greatly
gren,  green
great,  greet
grow,  grew
greif,  grief
greive,  grieve
greave,  grieve
grined,  grind
gripe,  grip
grown,  groan
grocerys,  groceries
grosery,  grocery
grose,  gross
grond,  ground
groupe,  group
gow,  grow
gro,  grow
groing,  growing
groul,  growl
grawl,  growl
groun,  grown
groth,  growth
grouth,  growth
garantee,  guarantee
garentee,  guarantee
guarentee,  guarantee
gaurd,  guard
gaurdian,  guardian
ges,  guess
gessed,  guessed
gussed,  guessed
gest,  guest
guid,  guide
gilty,  guilty
gun,  gum
gam,  gum
gon,  gun
guter,  gutter
habbit,  habit
habet,  habit
haden't,  hadn't
hale,  hail
har,  hair
hare,  hair
hafe,  half
haf,  half
holl,  hall
hamer,  hammer
haned,  handed
handfull,  handful
hankerchief,  handkerchief
handel,  handle
handeling,  handling
handleing,  handling
hans,  hands
hansome,  handsome
haing,  hang
hand,  hang
hapen,  happen
happend,  happened
happyness,  happiness
harber,  harbor
had,  hard
hrd,  hard
hardley,  hardly
hardwear,  hardware
havest,  harvest
hase,  has
his,  has
hasen't,  hasn't
hast,  haste
hastely,  hastily
hot,  hat
hach,  hatch
hached,  hatched
hachet,  hatchet
heat,  hate
hat,  hate
heated,  hated
hatted,  hated
hall,  haul
hav,  have
hove,  have
havn't,  haven't
havein't,  haven't
haveing,  having
hark,  hawk
hi,  he
hed,  head
had,  head
headace,  headache
helth,  health
helthy,  healthy
heep,  heap
her,  hear
herd,  heard
hard,  heard
hereing,  hearing
hering,  hearing
hart,  heart
heet,  heat
heven,  heaven
heavey,  heavy
havey,  heavy
hell,  heel
heal,  heel
hel,  heel
hight,  height
hieght,  height
hald,  held
hellow,  hello
hlp,  help
halp,  help
helpt,  helped
helpfull,  helpful
halping,  helping
hellping,  helping
han,  hen
hense,  hence
har,  her
heard,  herd
hear,  here
hearafter,  hereafter
heretofor,  heretofore
hearwith,  herewith
heroe,  hero
herslef,  herself
hesatate,  hesitate
hesetate,  hesitate
hid,  hide
hie,  high
hier,  higher
hire,  higher
hiest,  highest
hil,  hill
hin,  him
hinself,  himself
hing,  hinge
hindge,  hinge
hent,  hint
higher,  hire
hes,  his
has,  his
histry,  history
histroy,  history
het,  hit
hat,  hit
horse,  hoarse
hourse,  hoarse
how,  hoe
ho,  hoe
hag,  hog
holed,  hold
holing,  holding
hold,  hole
hol,  hole
holaday,  holiday
holiday,  holiday
holow,  hollow
holly,  holy
holey,  holy
hom,  home
hone,  home
homly,  homely
homsick,  homesick
onest,  honest
anest,  honest
hunny,  honey
hony,  honey
honer,  honor
honerable,  honorable
hok,  hook
hop,  hoop
hope,  hop
hop,  hope
hopped,  hoped
hopeing,  hoping
hone,  horn
hon,  horn
horrable,  horrible
horried,  horrid
hors,  horse
hores,  horses
horeses,  horses
hoes,  hose
hat,  hot
hotell,  hotel
hotle,  hotel
our,  hour
houres,  hours
ours,  hours
houe,  house
hous,  house
howses,  houses
hoses,  houses
hou,  how
haw,  how
howevery,  however
hugh,  huge
humon,  human
humen,  human
humer,  humor
hunderd,  hundred
hong,  hung
hont,  hunt
hanting,  hunting
hurryed,  hurried
hurred,  hurried
hury,  hurry
hym,  hymn
hymm,  hymn
ise,  ice
i'de,  i'd
i'ed,  i'd
idear,  idea
idel,  ideal
idel,  idle
ignorence,  ignorance
ignorent,  ignorant
ile,  i'll
ill,  i'll
il,  ill
ell,  ill
ilustrate,  illustrate
i'me,  i'm
i'n,  i'm
immagine,  imagine
imagin,  imagine
imatation,  imitation
imediate,  immediate
immediatly,  immediately
imence,  immense
immence,  immense
imortal,  immortal
impationt,  impatient
inport,  import
importants,  importance
importence,  importance
importent,  important
imposible,  impossible
imposable,  impossible
inprove,  improve
inproved,  improved
improvment,  improvement
inchs,  inches
enclose,  inclose
includ,  include
inclued,  include
inconvenence,  inconvenience
inconvience,  inconvenience
incress,  increase
inded,  indeed
independance,  independence
independant,  independent
indain,  indian
indan,  indian
indecate,  indicate
industral,  industrial
industriol,  industrial
industrie,  industry
inferier,  inferior
infulence,  influence
influance,  influence
imform,  inform
imformed,  informed
imformation,  information
enitial,  initial
injur,  injure
inger,  injure
ingered,  injured
ingerd,  injured
injurey,  injury
inke,  ink
ing,  ink
inocent,  innocent
inquir,  inquire
inquirey,  inquiry
insid,  inside
insest,  insist
ensist,  insist
instants,  instance
instence,  instance
instent,  instant
instint,  instant
insted,  instead
instute,  institute
instution,  institution
instruck,  instruct
instrement,  instrument
instrment,  instrument
instriment,  instrument
insolt,  insult
inselt,  insult
insurence,  insurance
intellegence,  intelligence
inteligence,  intelligence
intellegent,  intelligent
intented,  intended
intened,  intended
intension,  intention
intrest,  interest
intrested,  interested
intresting,  interesting
interfer,  interfere
interupt,  interrupt
interveiw,  interview
intervew,  interview
intermit,  intimate
interduce,  introduce
introdution,  introduction
invilid,  invalid
investagate,  investigate
investagation,  investigation
invatation,  invitation
invit,  invite
envited,  invited
iorn,  iron
irn,  iron
irning,  ironing
irigate,  irrigate
iragate,  irrigate
si,  is
iland,  island
isen't,  isn't
is'nt,  isn't
isue,  issue
isued,  issued
ismus,  isthmus
et,  it
itims,  items
itslef,  itself
itsself,  itself
i'v,  iv'e
ivery,  ivory
jaket,  jacket
gail,  jail
jale,  jail
janiter,  janitor
januery,  january
jur,  jar
gare,  jar
gar,  jar
jor,  jaw
jelous,  jealous
jule,  jewel
jewl,  jewel
jewelery,  jewelry
jewlery,  jewelry
joind,  joined
joned,  joined
jock,  joke
joly,  jolly
jurnal,  journal
journel,  journal
journy,  journey
jurney,  journey
goy,  joy
juge,  judge
judgement,  judgment
juse,  juice
jucy,  juicy
juicey,  juicy
jaly,  july
junp,  jump
jumpt,  jumped
jump,  jumped
junping,  jumping
jun,  june
juinor,  junior
jurry,  jury
justise,  justice
justifyed,  justified
kean,  keen
ken,  keen
cep,  keep
kepping,  keeping
cept,  kept
kettel,  kettle
kee,  key
ke,  key
kike,  kick
cill,  kill
kil,  kill
killd,  killed
kild,  killed
cind,  kind
kindergarden,  kindergarten
kindes,  kindest
kinly,  kindly
kins,  kinds
kis,  kiss
kitchen,  kitchen
kit,  kite
nee,  knee
new,  knew
nife,  knife
nit,  knit
nitting,  knitting
nock,  knock
knok,  knock
nocked,  knocked
knoked,  knocked
not,  knot
note,  knot
no,  know
now,  know
noing,  knowing
knowlege,  knowledge
knoledge,  knowledge
none,  known
lable,  label
laber,  labor
labratory,  laboratory
lase,  lace
lake,  lack
lader,  ladder
latter,  ladder
ladys,  ladies
lade,  lady
ladey,  lady
layed,  laid
lade,  laid
lak,  lake
lame,  lamb
lam,  lamb
lane,  lame
lanp,  lamp
languge,  language
langwage,  language
lanturn,  lantern
lape,  lap
lage,  large
larg,  large
lager,  larger
lat,  last
lat,  late
latly,  lately
latter,  later
later,  latter
laf,  laugh
lafed,  laughed
lafing,  laughing
landry,  laundry
loundry,  laundry
lor,  law
lown,  lawn
lawer,  lawyer
lae,  lay
la,  lay
lasy,  lazy
led,  lead
leding,  leading
leave,  leaf
leafe,  leaf
leage,  league
leek,  leak
leack,  leak
len,  lean
leep,  leap
lern,  learn
larn,  learn
learing,  learning
lerning,  learning
lest,  least
lather,  leather
lether,  leather
leve,  leave
leves,  leaves
lectur,  lecture
lead,  led
lad,  led
lag,  leg
leagle,  legal
leagel,  legal
legeslature,  legislature
liesure,  leisure
leasure,  leisure
lemen,  lemon
leamon,  lemon
lemenade,  lemonade
lemanade,  lemonade
leand,  lend
lenth,  length
lenght,  length
lest,  less
lase,  less
leson,  lesson
lessen,  lesson
lessens,  lessons
lesons,  lessons
lat,  let
leter,  letter
leting,  letting
leavel,  level
lieable,  liable
lyable,  liable
libary,  library
libery,  library
licence,  license
lisence,  license
lik,  lick
like,  lick
led,  lid
lay,  lie
lise,  lies
lieutenent,  lieutenant
leutenant,  lieutenant
lif,  life
left,  lift
lite,  light
lit,  light
lighting,  lightning
lik,  like
licked,  liked
likt,  liked
likly,  likely
liks,  likes
lillies,  lilies
lilys,  lilies
lilly,  lily
lim,  limb
lime,  limb
line,  lime
limet,  limit
limitted,  limited
linp,  limp
lin,  line
linnen,  linen
linin,  linen
lins,  lines
linning,  lining
lineing,  lining
lep,  lip
liqued,  liquid
licquid,  liquid
liquide,  liquid
licker,  liquor
lest,  list
lisen,  listen
lesson,  listen
literiture,  literature
literture,  literature
littl,  little
liv,  live
livd,  lived
livly,  lively
livs,  lives
lifes,  lives
liveing,  living
lode,  load
lofe,  loaf
lone,  loan
locol,  local
lockel,  local
locat,  locate
loction,  location
loack,  lock
loge,  lodge
lag,  log
loge,  log
lonly,  lonely
lonsome,  lonesome
lomesome,  lonesome
lang,  long
loger,  longer
lak,  look
loak,  look
lookt,  looked
loking,  looking
lookes,  looks
lose,  loose
loose,  lose
loseing,  losing
lose,  loss
lotes,  lots
lowd,  loud
lode,  loud
loveable,  lovable
lovd,  loved
lovly,  lovely
loveing,  loving
lo,  low
louer,  lower
loest,  lowest
lock,  luck
luckey,  lucky
luky,  lucky
lomber,  lumber
luber,  lumber
lomp,  lump
lunp,  lump
lunchen,  luncheon
lunchon,  luncheon
lieing,  lying
machinary,  machinery
nad,  mad
made,  mad
madame,  madam
mad,  made
magizine,  magazine
magnificient,  magnificent
made,  maid
mall,  mail
male,  mail
mane,  main
maine,  main
mantain,  maintain
mak,  make
maks,  makes
makeing,  making
moma,  mama
mamma,  mama
mange,  manage
managment,  management
manger,  manager
maneger,  manager
maner,  manner
maners,  manners
manuel,  manual
manafacture,  manufacture
manufactoring,  manufacturing
meny,  many
mape,  map
mapel,  maple
marbel,  marble
mach,  march
mach,  march
margain,  margin
margen,  margin
markt,  marked
marrige,  marriage
marred,  married
mary,  marry
marrie,  marry
marvalous,  marvelous
marvellous,  marvelous
masculin,  masculine
mast,  mask
masked,  mask
mas,  mass
mater,  master
mate,  mat
nat,  mat
mach,  match
mat,  mate
matieral,  material
mater,  matter
matr,  matter
nay,  may
mabe,  maybe
mayer,  mayor
medow,  meadow
mell,  meal
mel,  meal
ment,  meant
mentime,  meantime
mesure,  measure
meet,  meat
medle,  medal
medel,  medal
medical,  medical
medicen,  medicine
medicene,  medicine
mediam,  medium
meat,  meet
met,  meet
meating,  meeting
meetting,  meeting
mellon,  melon
malt,  melt
menber,  member
menbers,  members
memorandom,  memorandum
memery,  memory
man,  men
merchandize,  merchandise
merchent,  merchant
mear,  mere
merly,  merely
mearly,  merely
merrit,  merit
marry,  merry
mes,  mess
mesage,  message
mat,  met
metel,  metal
metle,  metal
methed,  method
mise,  mice
midle,  middle
mist,  midst
mite,  might
mity,  mighty
mitty,  mighty
miled,  mild
mill,  mile
mils,  miles
mills,  miles
milatary,  military
milke,  milk
mike,  milk
nill,  mill
mil,  mill
millinary,  millinery
millon,  million
minde,  mind
mide,  mind
mind,  mine
min,  mine
minning,  mining
minster,  minister
minester,  minister
minite,  minute
minit,  minute
minuts,  minutes
minits,  minutes
mirrow,  mirror
mischeif,  mischief
missery,  misery
misary,  misery
mis,  miss
mrs,  miss
mis,  miss
mess,  miss
mist,  missed
missed,  mist
misstake,  mistake
misstaken,  mistaken
misstress,  mistress
miks,  mix
mics,  mix
mixt,  mixed
modle,  model
moden,  modern
morden,  modern
modist,  modest
mosture,  moisture
monent,  moment
munday,  monday
mony,  money
monky,  monkey
moth,  month
monthes,  months
mode,  mood
mude,  mood
mon,  moon
monlight,  moonlight
morrow,  moral
mor,  more
moring,  morning
mortle,  mortal
morgage,  mortgage
mast,  most
moast,  most
mostley,  mostly
moter,  mother
moshen,  motion
moter,  motor
mountian,  mountain
moth,  mouth
movd,  moved
movment,  movement
moveing,  moving
mis.,  mr.
mrs.,  mr.
miss,  mrs.
mush,  much
mach,  much
mad,  mud
mudy,  muddy
muder,  murder
merder,  murder
murmer,  murmur
musem,  museum
museam,  museum
muic,  music
muice,  music
musican,  musician
musslin,  muslin
muzlin,  muslin
most,  must
mast,  must
mutal,  mutual
mutural,  mutual
mi,  my
ny,  my
misterious,  mysterious
nale,  nail
mane,  name
nam,  name
namd,  named
name,  named
namly,  namely
mainly,  namely
nams,  names
manes,  names
map,  nap
norrow,  narrow
natureal,  natural
naturaly,  naturally
naturely,  naturally
nacher,  nature
nauty,  naughty
navey,  navy
ner,  near
nerest,  nearest
nearst,  nearest
nealy,  nearly
net,  neat
nessery,  necessary
nessary,  necessary
nessesity,  necessity
neccesity,  necessity
nack,  neck
ned,  need
neaded,  needed
nedle,  needle
neddle,  needle
neclect,  neglect
neglet,  neglect
negrow,  negro
neibor,  neighbor
nabor,  neighbor
naborhood,  neighborhood
neiborhood,  neighborhood
niether,  neither
neather,  neither
nefue,  nephew
nurve,  nerve
nearve,  nerve
nerves,  nervous
nervious,  nervous
nast,  nest
naver,  never
neverless,  nevertheless
neverthless,  nevertheless
now,  new
neu,  new
newspapper,  newspaper
newpaper,  newspaper
nest,  next
mice,  nice
nise,  nice
nicly,  nicely
micely,  nicely
nickle,  nickel
neice,  niece
nite,  night
nin,  nine
ninteen,  nineteen
ninty,  ninety
nineth,  ninth
nobel,  noble
nobudy,  nobody
nose,  noise
noise,  noisy
noisee,  noisy
non,  none
nonsence,  nonsense
non,  noon
nore,  nor
normel,  normal
noth,  north
northen,  northern
nat,  not
mot,  not
noat,  note
not,  note
notted,  noted
nots,  notes
noting,  nothing
notest,  notice
notes,  notice
notife,  notify
norish,  nourish
nou,  now
nomber,  number
nuber,  number
nober,  number
nubers,  numbers
numorous,  numerous
not,  nut
oke,  oak
ots,  oats
outs,  oats
obediant,  obedient
obedent,  obedient
obay,  obey
abjection,  objection
oblegation,  obligation
oblidge,  oblige
oblidged,  obliged
observeation,  observation
obsirve,  observe
optain,  obtain
uptain,  obtain
occassion,  occasion
ocupied,  occupied
ocupy,  occupy
occupie,  occupy
occured,  occurred
ocen,  ocean
ochen,  ocean
oclock,  o'clock
octber,  october
ard,  odd
oder,  odor
af,  of
of,  off
ofer,  offer
offerd,  offered
offoring,  offering
ofice,  office
oficer,  officer
offercers,  officers
offical,  official
offen,  often
o,  oh
oll,  oil
ald,  old
oldr,  older
omite,  omit
omited,  omitted
an,  on
ome,  one
onin,  onion
onle,  only
opin,  open
opne,  open
opend,  opened
opent,  opened
opra,  opera
opperate,  operate
opperation,  operation
opion,  opinion
opinon,  opinion
oppertunity,  opportunity
opose,  oppose
appose,  oppose
oppisite,  opposite
oposition,  opposition
opposion,  opposition
our,  or
ornge,  orange
orang,  orange
orched,  orchard
orcherd,  orchard
orchester,  orchestra
oder,  order
orderd,  ordered
oders,  orders
ordinarally,  ordinarily
ordinarilly,  ordinarily
ordenary,  ordinary
ordinery,  ordinary
orgen,  organ
organazation,  organization
orginization,  organization
orginize,  organize
organise,  organize
orginized,  organized
origanal,  original
original,  original
origanally,  originally
originaly,  originally
ophan,  orphan
other,  others
out,  ought
hour,  our
ourselfs,  ourselves
aut,  out
owt,  out
outfet,  outfit
outfite,  outfit
outsid,  outside
ower,  over
overcote,  overcoat
overcot,  overcoat
oweing,  owing
olw,  owl
oul,  owl
one,  own
oun,  own
oned,  owned
oner,  owner
onwer,  owner
oster,  oyster
oister,  oyster
pake,  pack
packege,  package
pakage,  package
paking,  packing
pag,  page
pagis,  pages
pade,  paid
pale,  pail
pane,  pain
pant,  paint
panted,  painted
panting,  painting
pear,  pair
place,  palace
parm,  palm
pamflet,  pamphlet
pen,  pan
pantree,  pantry
pantrey,  pantry
papy,  papa
papr,  paper
prade,  parade
paragraf,  paragraph
parellel,  parallel
paralell,  parallel
parsel,  parcel
parden,  pardon
perent,  parent
parck,  park
parliment,  parliament
palor,  parlor
pard,  part
parcial,  partial
particuliar,  particular
piticular,  particular
particulary,  particularly
partys,  parties
partley,  partly
partener,  partner
parte,  party
pas,  pass
past,  passed
passanger,  passenger
pasing,  passing
passed,  past
past,  paste
paster,  pastor
paster,  pasture
pastur,  pasture
pate,  pat
pacth,  patch
pattent,  patent
patient,  patent
pathe,  path
patients,  patience
patiant,  patient
patern,  pattern
paws,  pause
pavment,  pavement
por,  paw
pow,  paw
pae,  pay
payble,  payable
payible,  payable
paing,  paying
pament,  payment
pease,  peace
pice,  peace
pech,  peach
peches,  peaches
penut,  peanut
pair,  pear
pare,  pear
pes,  peas
pecular,  peculiar
pep,  peep
peap,  peep
pan,  pen
pencle,  pencil
penney,  penny
peny,  penny
pople,  people
peper,  pepper
persent,  per_cent
perfact,  perfect
perfactly,  perfectly
performence,  performance
purfume,  perfume
perhapes,  perhaps
peroid,  period
permanant,  permanent
permenant,  permanent
premision,  permission
permet,  permit
permite,  permit
persen,  person
personel,  personal
personly,  personal
personalty,  personality
perswade,  persuade
pursuade,  persuade
pat,  pet
fone,  phone
photagraph,  photograph
fraze,  phrase
phisical,  physical
phisician,  physician
paino,  piano
pickel,  pickle
picknick,  picnic
picher,  picture
picturs,  pictures
piy,  pie
peice,  piece
peices,  pieces
peirce,  pierce
pag,  pig
pigen,  pigeon
pill,  pile
pilow,  pillow
pin,  pine
piper,  pipe
pip,  pipe
pich,  pitch
picth,  pitch
picture,  pitcher
picther,  pitcher
pityful,  pitiful
pitifull,  pitiful
pitty,  pity
plase,  place
plas,  place
plased,  placed
plases,  places
plane,  plain
plan,  plain
plain,  plan
plain,  plane
planck,  plank
planed,  planned
planing,  planning
plat,  plant
plat,  plate
plateform,  platform
platforn,  platform
pay,  play
plaing,  playing
pleasent,  pleasant
pleas,  please
plesed,  pleased
pleaseing,  pleasing
plesure,  pleasure
plege,  pledge
pleage,  pledge
pleanty,  plenty
plowe,  plow
plam,  plum
plom,  plum
pluse,  plus
poket,  pocket
pome,  poem
peom,  poem
pont,  point
poisen,  poison
posion,  poison
poll,  pole
policman,  policeman
polocy,  policy
polisy,  policy
polight,  polite
polit,  polite
politices,  politics
pand,  pond
pone,  pony
pole,  pool
por,  poor
populer,  popular
poplation,  population
parch,  porch
porth,  porch
prok,  pork
postion,  position
possitive,  positive
positivly,  positively
posses,  possess
poses,  possess
posess,  possess
possesion,  possession
posession,  possession
posibility,  possibility
possable,  possible
posible,  possible
possible,  possibly
past,  post
postel,  postal
postoffice,  post_office
postphone,  postpone
pospone,  postpone
pat,  pot
potatoe,  potato
poatato,  potato
potatos,  potatoes
poltry,  poultry
poletree,  poultry
pond,  pound
ponds,  pounds
pore,  pour
pouder,  powder
power,  powder
pour,  power
practicle,  practical
practial,  practical
practicaly,  practically
practise,  practice
prares,  prairies
praires,  prairies
prais,  praise
pray,  prayer
prair,  prayer
prech,  preach
precher,  preacher
preature,  preacher
presious,  precious
prefere,  prefer
prefur,  prefer
predjudice,  prejudice
prelimanary,  premiliminary
premeum,  premium
preperation,  preparation
prepair,  prepare
prepaired,  prepared
prepard,  prepared
prepairing,  preparing
presense,  presence
preasent,  present
preseve,  preserve
presedent,  president
prass,  press
presum,  presume
prettest,  prettiest
preety,  pretty
pritty,  pretty
pervent,  prevent
preveous,  previous
prise,  price
prid,  pride
pried,  pride
preist,  priest
primery,  primary
principle,  principal
princible,  principal
principal,  principle
prent,  print
prented,  printed
prenting,  printing
priting,  printing
prier,  prior
priar,  prior
preson,  prison
prision,  prison
privite,  private
privilage,  privilege
priviledge,  privilege
prise,  prize
probly,  probably
probaly,  probably
procceed,  proceed
procede,  proceed
prosession,  procession
proqure,  procure
produse,  produce
prodect,  product
proffesion,  profession
proffesional,  professional
proffessor,  professor
professer,  professor
proffesor,  professor
profet,  profit
program,  program
progess,  progress
proggress,  progress
promis,  promise
promest,  promised
promist,  promised
promot,  promote
permotion,  promotion
promition,  promotion
promt,  prompt
promtly,  promptly
prounce,  pronounce
prononce,  pronounce
pronouce,  pronounce
proff,  proof
prove,  proof
propper,  proper
propety,  property
propity,  property
propotion,  proportion
perpose,  propose
proppose,  propose
propostion,  proposition
propect,  prospect
prosperious,  prosperous
prosperes,  prosperous
protaction,  protection
protecktion,  protection
proction,  protection
prowd,  proud
prooved,  proved
provid,  provide
provied,  provide
provied,  provided
provission,  provision
publick,  public
puplic,  public
puplished,  published
putting,  pudding
puding,  pudding
puf,  puff
poff,  puff
pall,  pull
pluse,  pulse
pomp,  pump
pumkin,  pumpkin
puple,  pupil
pupile,  pupil
pupy,  puppy
perchase,  purchase
perchased,  purchased
pur,  pure
puple,  purple
perpose,  purpose
purce,  purse
perse,  purse
persue,  pursue
puch,  push
pot,  put
puting,  putting
puzzel,  puzzle
quanity,  quantity
quat,  quart
quater,  quarter
qeen,  queen
